name,company,salary_min,salary_max,link,site
Разработчик PHP Stream,Не указано,0,0,https://superjob.ru/vakansii/razrabotchik-php-stream-32702333.html,SuperJob
Инженер Devops Stream,Не указано,0,0,https://superjob.ru/vakansii/inzhener-devops-stream-32702293.html,SuperJob
"Педагог дополнительного образования (программирование), учитель математики",ГБОУ СОШ №619 Калининского района Санкт-Петербурга,0,0,https://superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-26930957.html,SuperJob
Системный администратор,Мой Зубной,70000,0,https://superjob.ru/vakansii/sistemnyj-administrator-30077052.html,SuperJob
Младший аналитик,Кредит Инкасо Рус,25000,40000,https://superjob.ru/vakansii/mladshij-analitik-32715654.html,SuperJob
Инженер-программист SQL,218 АРЗ,80000,100000,https://superjob.ru/vakansii/inzhener-programmist-sql-32582744.html,SuperJob
Программист-тестировщик,"""Концерн ""Автоматика"", АО ""БПО ""Прогресс""",20000,0,https://superjob.ru/vakansii/programmist-testirovschik-32425129.html,SuperJob
Главный аналитик,Росгосстрах,0,0,https://superjob.ru/vakansii/glavnyj-analitik-32658989.html,SuperJob
Системный администратор Linux,Самсон-опт,70000,0,https://superjob.ru/vakansii/sistemnyj-administrator-linux-28895230.html,SuperJob
Младший системный администратор Linux,Самсон-опт,54000,0,https://superjob.ru/vakansii/mladshij-sistemnyj-administrator-linux-32235514.html,SuperJob
Программист,Эс Класс Клиник,0,0,https://superjob.ru/vakansii/programmist-32631881.html,SuperJob
Дизайнер,Biglion,0,0,https://superjob.ru/vakansii/dizajner-32679374.html,SuperJob
Ведущий инженер (разработка SQL),Сбербанк России,0,0,https://superjob.ru/vakansii/veduschij-inzhener-32529801.html,SuperJob
Старший аналитик,МобильныеТелеСистемы,0,0,https://superjob.ru/vakansii/starshij-analitik-32480926.html,SuperJob
Стажер Sberseasons Data science Екатеринбург (осень),Сбербанк России,0,0,https://superjob.ru/vakansii/stazher-sberseasons-data-science-ekaterinburg-32473510.html,SuperJob
Fullstack веб-разработчик,Комэрф,25000,0,https://superjob.ru/vakansii/fullstack-veb-razrabotchik-31834823.html,SuperJob
"Программист 3 ей категории, программист ABAP, разработчик SAP","Иркутский филиал №2 ООО ""ОЦРВ""",40000,60000,https://superjob.ru/vakansii/programmist-3-ej-kategorii-29699029.html,SuperJob
Инженер-стажер (математическое моделирование),Челябинский трубопрокатный завод,0,0,https://superjob.ru/vakansii/inzhener-stazher-32560535.html,SuperJob
IP Telephony Engineer Asterisk,Автотрейд,35000,45000,https://superjob.ru/vakansii/ip-telephony-engineer-asterisk-32733979.html,SuperJob
Главный инженер в отдел баз данных Hadoop и NoSQL,Сбербанк России,0,0,https://superjob.ru/vakansii/glavnyj-inzhener-v-otdel-baz-dannyh-hadoop-i-nosql-32655307.html,SuperJob
Инженер группы по развитию инструментов мониторинга,МегаФон,0,0,https://superjob.ru/vakansii/inzhener-gruppy-po-razvitiyu-instrumentov-monitoringa-32528872.html,SuperJob
Главный инженер в отдел серверных систем Linux,Сбербанк России,0,0,https://superjob.ru/vakansii/glavnyj-inzhener-v-otdel-servernyh-sistem-linux-32605436.html,SuperJob
Старший сетевой инженер ЦОД,Компания КОМПЛИТ,85000,0,https://superjob.ru/vakansii/starshij-setevoj-inzhener-cod-32585824.html,SuperJob
Web-разработчик,Не указано,30000,40000,https://superjob.ru/vakansii/web-razrabotchik-32758100.html,SuperJob
"Инженер-программист, младший инженер-программист",Топаз-сервис,45000,0,https://superjob.ru/vakansii/inzhener-programmist-30439894.html,SuperJob
Ведущий программист АСР,Не указано,0,0,https://superjob.ru/vakansii/veduschij-programmist-asr-32755676.html,SuperJob
Тестировщик,Директ Кредит,40000,50000,https://superjob.ru/vakansii/testirovschik-32610770.html,SuperJob
Разработчик Delphi,"НПП ""Энерготехника""",45000,0,https://superjob.ru/vakansii/razrabotchik-delphi-30126438.html,SuperJob
Ведущий инженер группы технологий машинного зрения,"Группа ""ЧТПЗ""",0,0,https://superjob.ru/vakansii/veduschij-inzhener-gruppy-tehnologij-mashinnogo-zreniya-32576498.html,SuperJob
Инженер (Linux) / Linux Embedded,Группа компаний MVS,150000,0,https://superjob.ru/vakansii/inzhener-32585925.html,SuperJob
"ГИС-специалист, специалист по цифровой картографии геоинформации",ТехноТерра,40000,0,https://superjob.ru/vakansii/gis-specialist-31522841.html,SuperJob
Разработчик в отдел технических средств обучения (C++ / Qt),"ПАО ""Компания ""Сухой""",60000,100000,https://superjob.ru/vakansii/razrabotchik-v-otdel-tehnicheskih-sredstv-obucheniya-31739162.html,SuperJob
Системный администратор (DevOPS),Не указано,100000,0,https://superjob.ru/vakansii/sistemnyj-administrator-31897795.html,SuperJob
Системный администратор Linux,"НПФ ""ХЕЛИКС""",0,0,https://superjob.ru/vakansii/sistemnyj-administrator-linux-32364160.html,SuperJob
Ведущий программист (начальник отдела программистов / team lead),Индеструм,0,0,https://superjob.ru/vakansii/veduschij-programmist-32680806.html,SuperJob
Data scientist,Компания КОМПЛИТ,0,0,https://superjob.ru/vakansii/data-scientist-31128164.html,SuperJob
Программист-разработчик,Промотрейд (Кадровая Служба 24),80000,0,https://superjob.ru/vakansii/programmist-razrabotchik-32779566.html,SuperJob
Программист квестов в реальности (web / C++),Индеструм,0,0,https://superjob.ru/vakansii/programmist-kvestov-v-realnosti-32680907.html,SuperJob
Senior QA engineer,Фабрикант,0,0,https://superjob.ru/vakansii/senior-qa-engineer-32391200.html,SuperJob
Интернет-маркетолог,Интеркросс,0,0,https://superjob.ru/vakansii/internet-marketolog-31799263.html,SuperJob
Системный аналитик / Ведущий системный администратор,СДН (SDN),60000,0,https://superjob.ru/vakansii/sistemnyj-analitik-32663136.html,SuperJob
Младший научный сотрудник,РЭУ им. Г. В. Плеханова,50000,0,https://superjob.ru/vakansii/mladshij-nauchnyj-sotrudnik-32526032.html,SuperJob
Senior Java developer,Nexign («Петер-Сервис»),0,0,https://superjob.ru/vakansii/senior-java-developer-32799497.html,SuperJob
Программист-разработчик,РИК,60000,0,https://superjob.ru/vakansii/programmist-razrabotchik-32713868.html,SuperJob
Инженер-программист,Новые Лазерные Технологии,100000,0,https://superjob.ru/vakansii/inzhener-programmist-32707815.html,SuperJob
Ведущий системный администратор Zabbix,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,60000,0,https://superjob.ru/vakansii/veduschij-sistemnyj-administrator-zabbix-32499870.html,SuperJob
